code,error_reason
sh.601127,ma10 低于 ma20
sz.002006,ma10 低于 ma20
sz.002865,close_price 低于 ma10
sz.300548,ma10 低于 ma20
sz.300779,ma10 低于 ma20
sz.300972,ma10 低于 ma20
sh.600481,close_price 低于 ma10
sh.600839,close_price 低于 ma10
sz.000408,close_price 低于 ma10
sz.002455,ma10 低于 ma20
sh.688037,close_price 低于 ma10
sh.603268,close_price 低于 ma10
sh.688183,ma10 低于 ma20
sh.688585,ma10 低于 ma20
sz.300857,close_price 低于 ma10
sz.300394,close_price 低于 ma10
sz.002759,ma10 低于 ma20
sz.300432,ma10 低于 ma20
sz.300604,close_price 低于 ma10
sh.603040,close_price 低于 ma10
sz.002931,close_price 低于 ma10
sz.300293,close_price 低于 ma10
sh.603486,close_price 低于 ma10
sh.688202,close_price 低于 ma10
sh.600096,close_price 低于 ma10
sz.300657,ma10 低于 ma20
sz.000564,ma10 低于 ma20
sz.002378,close_price 低于 ma10
sh.605196,close_price 低于 ma10
sz.002536,close_price 低于 ma10
sz.301550,close_price 低于 ma10
sz.000420,ma10 低于 ma20
sz.300007,close_price 低于 ma10
sz.302132,close_price 低于 ma10
sz.000899,close_price 低于 ma10
sh.603286,close_price 低于 ma10
sh.600165,ma10 低于 ma20
sz.300986,ma10 低于 ma20
sz.300308,ma10 低于 ma20
sh.601899,close_price 低于 ma10
sh.688025,close_price 低于 ma10
sh.688068,close_price 低于 ma10
sz.300671,close_price 低于 ma10
sh.601179,close_price 低于 ma10
sz.300077,ma10 低于 ma20
sz.300255,close_price 低于 ma10
sz.002703,close_price 低于 ma10
sz.300520,close_price 低于 ma10
sz.000510,close_price 低于 ma10
sz.300913,close_price 低于 ma10
sh.603389,close_price 低于 ma10
sh.600089,close_price 低于 ma10
sh.603308,close_price 低于 ma10
sz.300827,close_price 低于 ma10
sz.300489,close_price 低于 ma10
sh.600595,close_price 低于 ma10
sz.000657,close_price 低于 ma10
sh.688257,close_price 低于 ma10
sh.603929,ma10 低于 ma20
sz.002881,close_price 低于 ma10
sh.603067,close_price 低于 ma10
sz.301413,close_price 低于 ma10
sz.002052,ma10 低于 ma20
sh.601138,close_price 低于 ma10
sh.603993,close_price 低于 ma10
sz.003022,ma10 低于 ma20
sh.688682,close_price 低于 ma10
sh.605580,close_price 低于 ma10
sh.601633,ma10 低于 ma20
sz.000158,close_price 低于 ma10
sz.002837,ma10 低于 ma20
sz.300382,close_price 低于 ma10
sz.002354,close_price 低于 ma10
sz.002270,close_price 低于 ma10
sh.603667,close_price 低于 ma10
sh.600107,close_price 低于 ma10
sz.300048,close_price 低于 ma10
sh.688516,close_price 低于 ma10
sh.688521,close_price 低于 ma10
sh.603185,ma10 低于 ma20
sh.603737,ma10 低于 ma20
sz.002545,close_price 低于 ma10
sz.000799,ma10 低于 ma20
sh.688698,close_price 低于 ma10
sh.688678,ma10 低于 ma20
sh.600111,close_price 低于 ma10
sz.300354,close_price 低于 ma10
sz.002164,close_price 低于 ma10
sh.600129,ma10 低于 ma20
sz.300115,close_price 低于 ma10
sz.300718,close_price 低于 ma10
sh.600416,close_price 低于 ma10
sz.300727,close_price 低于 ma10
sz.300559,ma10 低于 ma20
sz.300409,ma10 低于 ma20
sh.688622,close_price 低于 ma10
sz.002176,close_price 低于 ma10
sh.600835,close_price 低于 ma10
sz.300534,ma10 低于 ma20
sh.600520,ma10 低于 ma20
