trading_date,stage_no,stage_name,stage_status,duration_sec,entry_type,entry_target,reused,repaired,error_message
2026-03-20,0,行情快照补数层,SUCCESS_EXECUTED,15.2165,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_market_snapshot,False,False,
2026-03-20,1,每日候选股生成层,SUCCESS_EXECUTED,9.0847,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_daily_candidates,False,False,
2026-03-20,2,每日交易计划生成层,SUCCESS_EXECUTED,0.1011,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_trade_plan,False,False,
2026-03-20,3,组合层,SUCCESS_EXECUTED,0.0438,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_portfolio_plan,False,False,
2026-03-20,4,组合风控复核层,SUCCESS_EXECUTED,0.0202,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_portfolio_risk_review,False,False,
2026-03-20,5,组合执行优先级层,SUCCESS_EXECUTED,0.009,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_execution_priority,False,False,
2026-03-20,6,开盘动态执行层,SUCCESS_EXECUTED,0.0243,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_open_execution,False,False,
2026-03-20,7,盘中二次确认层,SUCCESS_EXECUTED,0.0456,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_intraday_recheck,False,False,
2026-03-20,8,收盘复盘层,SUCCESS_EXECUTED,0.0929,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_close_review,False,False,
2026-03-20,9,次日持仓续管层,SUCCESS_EXECUTED,0.014,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_next_day_management,False,False,
2026-03-20,10,真实交易流水对账层,SUCCESS_EXECUTED,0.0894,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_trade_reconciliation,False,False,
2026-03-20,11,对账异常归因层,SUCCESS_EXECUTED,0.107,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_reconciliation_attribution,False,False,
2026-03-20,12,异常闭环复盘层,SUCCESS_EXECUTED,0.0569,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_reconciliation_review,False,False,
2026-03-20,13,异常注入回放验证层,SKIPPED,0.0,method,trading_day_orchestrator_manager.TradingDayOrchestratorManager._stage_replay_validation,False,False,
