trade_date,portfolio_rank,code,action,heat_level,score,entry_price,stop_loss,target_price,suggested_shares,suggested_position_pct,expected_loss_amt,expected_profit_amt,reason
2026-03-20,21,sh.600289,正常跟踪,正常,79.0,8.37,7.95,9.21,100,0.0008,42.0,84.0,主趋势过滤
2026-03-20,26,sz.002650,正常跟踪,正常,74.0,6.67,6.34,7.34,100,0.0007,33.0,67.0,主趋势过滤
2026-03-20,32,sh.601216,正常跟踪,正常,68.0,6.29,5.98,6.92,100,0.0006,31.0,63.0,主趋势过滤
2026-03-20,41,sz.300506,正常跟踪,正常,59.0,5.29,5.03,5.82,100,0.0005,26.0,53.0,主趋势过滤
2026-03-20,63,sh.603007,正常跟踪,正常,37.0,6.9,6.55,7.59,100,0.0007,35.0,69.0,主趋势过滤
2026-03-20,78,sh.600777,正常跟踪,正常,22.0,5.09,4.84,5.6,100,0.0005,25.0,51.0,主趋势过滤
2026-03-20,79,sh.600726,正常跟踪,正常,21.0,4.4,4.18,4.84,200,0.0009,44.0,88.0,主趋势过滤
2026-03-20,80,sz.300343,正常跟踪,正常,20.0,6.83,6.49,7.51,100,0.0007,34.0,68.0,主趋势过滤
2026-03-20,90,sz.002356,正常跟踪,正常,10.0,4.58,4.35,5.04,100,0.0005,23.0,46.0,主趋势过滤
2026-03-20,101,sz.000595,正常跟踪,正常,-1.0,6.47,6.15,7.12,100,0.0006,32.0,65.0,主趋势过滤
2026-03-20,104,sz.300269,正常跟踪,正常,-4.0,8.52,8.09,9.37,100,0.0009,43.0,85.0,主趋势过滤
2026-03-20,112,sz.002656,正常跟踪,正常,-12.0,3.0,2.85,3.3,200,0.0006,30.0,60.0,主趋势过滤
2026-03-20,114,sz.000883,正常跟踪,正常,-14.0,4.9,4.66,5.39,100,0.0005,24.0,49.0,主趋势过滤
2026-03-20,124,sz.000669,正常跟踪,正常,-24.0,5.1,4.84,5.61,100,0.0005,26.0,51.0,主趋势过滤
2026-03-20,125,sz.300225,正常跟踪,正常,-25.0,5.59,5.31,6.15,100,0.0006,28.0,56.0,主趋势过滤
2026-03-20,131,sz.002470,正常跟踪,正常,-31.0,3.27,3.11,3.6,200,0.0007,32.0,66.0,主趋势过滤
2026-03-20,138,sz.000949,正常跟踪,正常,-38.0,7.52,7.14,8.27,100,0.0008,38.0,75.0,主趋势过滤
2026-03-20,140,sh.600256,正常跟踪,正常,-40.0,7.33,6.96,8.06,100,0.0007,37.0,73.0,主趋势过滤
2026-03-20,150,sz.002047,正常跟踪,正常,-50.0,5.8,5.51,6.38,100,0.0006,29.0,58.0,主趋势过滤
2026-03-20,154,sh.600525,正常跟踪,正常,-54.0,5.74,5.45,6.31,100,0.0006,29.0,57.0,主趋势过滤
2026-03-20,164,sz.002063,正常跟踪,正常,-64.0,7.06,6.71,7.77,100,0.0007,35.0,71.0,主趋势过滤
