trade_date,portfolio_rank,code,action,heat_level,score,entry_price,stop_loss,target_price,suggested_shares,suggested_position_pct,expected_loss_amt,expected_profit_amt,reason
2026-03-20,21,sh.600289,正常跟踪,正常,79.0,8.37,7.95,9.21,100,0.0008,42.0,84.0,主趋势过滤
2026-03-20,26,sz.002650,正常跟踪,正常,74.0,6.67,6.34,7.34,100,0.0007,33.0,67.0,主趋势过滤
2026-03-20,32,sh.601216,正常跟踪,正常,68.0,6.29,5.98,6.92,100,0.0006,31.0,63.0,主趋势过滤
2026-03-20,41,sz.300506,正常跟踪,正常,59.0,5.29,5.03,5.82,100,0.0005,26.0,53.0,主趋势过滤
2026-03-20,63,sh.603007,正常跟踪,正常,37.0,6.9,6.55,7.59,100,0.0007,35.0,69.0,主趋势过滤
2026-03-20,78,sh.600777,正常跟踪,正常,22.0,5.09,4.84,5.6,100,0.0005,25.0,51.0,主趋势过滤
2026-03-20,79,sh.600726,正常跟踪,正常,21.0,4.4,4.18,4.84,200,0.0009,44.0,88.0,主趋势过滤
2026-03-20,80,sz.300343,正常跟踪,正常,20.0,6.83,6.49,7.51,100,0.0007,34.0,68.0,主趋势过滤
2026-03-20,90,sz.002356,正常跟踪,正常,10.0,4.58,4.35,5.04,100,0.0005,23.0,46.0,主趋势过滤
2026-03-20,101,sz.000595,正常跟踪,正常,-1.0,6.47,6.15,7.12,100,0.0006,32.0,65.0,主趋势过滤
