file_name,short_ma,long_ma,error
backtest_5years_winrate.csv,5,10,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
backtest_5years_winrate.csv,10,20,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
backtest_5years_winrate.csv,10,30,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
backtest_5years_winrate.csv,20,60,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
backtest_details.csv,5,10,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
backtest_details.csv,10,20,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
backtest_details.csv,10,30,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
backtest_details.csv,20,60,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
custom_11_result.csv,5,10,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
custom_11_result.csv,10,20,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
custom_11_result.csv,10,30,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
custom_11_result.csv,20,60,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
experiment_log.csv,5,10,"CSV缺失字段: ['date', 'code', 'open', 'high', 'low', 'close', 'preclose', 'volume', 'amount', 'pctChg', 'turn', 'peTTM', 'pbMRQ']"
experiment_log.csv,10,20,"CSV缺失字段: ['date', 'code', 'open', 'high', 'low', 'close', 'preclose', 'volume', 'amount', 'pctChg', 'turn', 'peTTM', 'pbMRQ']"
experiment_log.csv,10,30,"CSV缺失字段: ['date', 'code', 'open', 'high', 'low', 'close', 'preclose', 'volume', 'amount', 'pctChg', 'turn', 'peTTM', 'pbMRQ']"
experiment_log.csv,20,60,"CSV缺失字段: ['date', 'code', 'open', 'high', 'low', 'close', 'preclose', 'volume', 'amount', 'pctChg', 'turn', 'peTTM', 'pbMRQ']"
optimized_trades.csv,5,10,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
optimized_trades.csv,10,20,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
optimized_trades.csv,10,30,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
optimized_trades.csv,20,60,'utf-8' codec can't decode byte 0xb4 in position 0: invalid start byte
sh.512940.csv,5,10,数据太少，至少需要20行以上
sh.512940.csv,10,20,数据太少，至少需要20行以上
sh.512940.csv,10,30,数据太少，至少需要20行以上
sh.512940.csv,20,60,数据太少，至少需要20行以上
sh.515970.csv,5,10,数据太少，至少需要20行以上
sh.515970.csv,10,20,数据太少，至少需要20行以上
sh.515970.csv,10,30,数据太少，至少需要20行以上
sh.515970.csv,20,60,数据太少，至少需要20行以上
sh.520610.csv,5,10,数据太少，至少需要20行以上
sh.520610.csv,10,20,数据太少，至少需要20行以上
sh.520610.csv,10,30,数据太少，至少需要20行以上
sh.520610.csv,20,60,数据太少，至少需要20行以上
sh.520760.csv,5,10,数据太少，至少需要20行以上
sh.520760.csv,10,20,数据太少，至少需要20行以上
sh.520760.csv,10,30,数据太少，至少需要20行以上
sh.520760.csv,20,60,数据太少，至少需要20行以上
sh.520930.csv,5,10,数据太少，至少需要20行以上
sh.520930.csv,10,20,数据太少，至少需要20行以上
sh.520930.csv,10,30,数据太少，至少需要20行以上
sh.520930.csv,20,60,数据太少，至少需要20行以上
sh.530060.csv,5,10,数据太少，至少需要20行以上
sh.530060.csv,10,20,数据太少，至少需要20行以上
sh.530060.csv,10,30,数据太少，至少需要20行以上
sh.530060.csv,20,60,数据太少，至少需要20行以上
sh.560230.csv,5,10,数据太少，至少需要20行以上
sh.560230.csv,10,20,数据太少，至少需要20行以上
sh.560230.csv,10,30,数据太少，至少需要20行以上
sh.560230.csv,20,60,数据太少，至少需要20行以上
sh.560270.csv,5,10,数据太少，至少需要20行以上
sh.560270.csv,10,20,数据太少，至少需要20行以上
sh.560270.csv,10,30,数据太少，至少需要20行以上
sh.560270.csv,20,60,数据太少，至少需要20行以上
sh.560290.csv,5,10,数据太少，至少需要20行以上
sh.560290.csv,10,20,数据太少，至少需要20行以上
sh.560290.csv,10,30,数据太少，至少需要20行以上
sh.560290.csv,20,60,数据太少，至少需要20行以上
sh.560310.csv,5,10,数据太少，至少需要20行以上
sh.560310.csv,10,20,数据太少，至少需要20行以上
sh.560310.csv,10,30,数据太少，至少需要20行以上
sh.560310.csv,20,60,数据太少，至少需要20行以上
sh.560370.csv,5,10,数据太少，至少需要20行以上
sh.560370.csv,10,20,数据太少，至少需要20行以上
sh.560370.csv,10,30,数据太少，至少需要20行以上
sh.560370.csv,20,60,数据太少，至少需要20行以上
sh.560390.csv,5,10,数据太少，至少需要20行以上
sh.560390.csv,10,20,数据太少，至少需要20行以上
sh.560390.csv,10,30,数据太少，至少需要20行以上
sh.560390.csv,20,60,数据太少，至少需要20行以上
sh.560710.csv,5,10,数据太少，至少需要20行以上
sh.560710.csv,10,20,数据太少，至少需要20行以上
sh.560710.csv,10,30,数据太少，至少需要20行以上
sh.560710.csv,20,60,数据太少，至少需要20行以上
sh.563560.csv,5,10,数据太少，至少需要20行以上
sh.563560.csv,10,20,数据太少，至少需要20行以上
sh.563560.csv,10,30,数据太少，至少需要20行以上
sh.563560.csv,20,60,数据太少，至少需要20行以上
sh.589170.csv,5,10,数据太少，至少需要20行以上
sh.589170.csv,10,20,数据太少，至少需要20行以上
sh.589170.csv,10,30,数据太少，至少需要20行以上
sh.589170.csv,20,60,数据太少，至少需要20行以上
sh.603284.csv,5,10,数据太少，至少需要20行以上
sh.603284.csv,10,20,数据太少，至少需要20行以上
sh.603284.csv,10,30,数据太少，至少需要20行以上
sh.603284.csv,20,60,数据太少，至少需要20行以上
sh.688816.csv,5,10,数据太少，至少需要20行以上
sh.688816.csv,10,20,数据太少，至少需要20行以上
sh.688816.csv,10,30,数据太少，至少需要20行以上
sh.688816.csv,20,60,数据太少，至少需要20行以上
sh.688818.csv,5,10,数据太少，至少需要20行以上
sh.688818.csv,10,20,数据太少，至少需要20行以上
sh.688818.csv,10,30,数据太少，至少需要20行以上
sh.688818.csv,20,60,数据太少，至少需要20行以上
sz.159135.csv,5,10,数据太少，至少需要20行以上
sz.159135.csv,10,20,数据太少，至少需要20行以上
sz.159135.csv,10,30,数据太少，至少需要20行以上
sz.159135.csv,20,60,数据太少，至少需要20行以上
sz.159148.csv,5,10,数据太少，至少需要20行以上
sz.159148.csv,10,20,数据太少，至少需要20行以上
sz.159148.csv,10,30,数据太少，至少需要20行以上
sz.159148.csv,20,60,数据太少，至少需要20行以上
sz.159153.csv,5,10,数据太少，至少需要20行以上
sz.159153.csv,10,20,数据太少，至少需要20行以上
sz.159153.csv,10,30,数据太少，至少需要20行以上
sz.159153.csv,20,60,数据太少，至少需要20行以上
sz.159156.csv,5,10,数据太少，至少需要20行以上
sz.159156.csv,10,20,数据太少，至少需要20行以上
sz.159156.csv,10,30,数据太少，至少需要20行以上
sz.159156.csv,20,60,数据太少，至少需要20行以上
sz.159157.csv,5,10,数据太少，至少需要20行以上
sz.159157.csv,10,20,数据太少，至少需要20行以上
sz.159157.csv,10,30,数据太少，至少需要20行以上
sz.159157.csv,20,60,数据太少，至少需要20行以上
sz.159159.csv,5,10,数据太少，至少需要20行以上
sz.159159.csv,10,20,数据太少，至少需要20行以上
sz.159159.csv,10,30,数据太少，至少需要20行以上
sz.159159.csv,20,60,数据太少，至少需要20行以上
sz.159163.csv,5,10,数据太少，至少需要20行以上
sz.159163.csv,10,20,数据太少，至少需要20行以上
sz.159163.csv,10,30,数据太少，至少需要20行以上
sz.159163.csv,20,60,数据太少，至少需要20行以上
sz.159165.csv,5,10,数据太少，至少需要20行以上
sz.159165.csv,10,20,数据太少，至少需要20行以上
sz.159165.csv,10,30,数据太少，至少需要20行以上
sz.159165.csv,20,60,数据太少，至少需要20行以上
sz.159167.csv,5,10,数据太少，至少需要20行以上
sz.159167.csv,10,20,数据太少，至少需要20行以上
sz.159167.csv,10,30,数据太少，至少需要20行以上
sz.159167.csv,20,60,数据太少，至少需要20行以上
sz.159168.csv,5,10,数据太少，至少需要20行以上
sz.159168.csv,10,20,数据太少，至少需要20行以上
sz.159168.csv,10,30,数据太少，至少需要20行以上
sz.159168.csv,20,60,数据太少，至少需要20行以上
sz.159169.csv,5,10,数据太少，至少需要20行以上
sz.159169.csv,10,20,数据太少，至少需要20行以上
sz.159169.csv,10,30,数据太少，至少需要20行以上
sz.159169.csv,20,60,数据太少，至少需要20行以上
sz.159171.csv,5,10,数据太少，至少需要20行以上
sz.159171.csv,10,20,数据太少，至少需要20行以上
sz.159171.csv,10,30,数据太少，至少需要20行以上
sz.159171.csv,20,60,数据太少，至少需要20行以上
sz.159175.csv,5,10,数据太少，至少需要20行以上
sz.159175.csv,10,20,数据太少，至少需要20行以上
sz.159175.csv,10,30,数据太少，至少需要20行以上
sz.159175.csv,20,60,数据太少，至少需要20行以上
sz.301680.csv,5,10,数据太少，至少需要20行以上
