date,code,close,ma_short,ma_long,buy_signal,sell_signal
2020-01-02,sh.600121,2.38,,,False,False
2020-01-03,sh.600121,2.39,,,False,False
2020-01-06,sh.600121,2.42,,,False,False
2020-01-07,sh.600121,2.55,,,False,False
2020-01-08,sh.600121,2.43,2.434,,False,False
2020-01-09,sh.600121,2.43,2.444,,False,False
2020-01-10,sh.600121,2.42,2.45,,False,False
2020-01-13,sh.600121,2.44,2.4539999999999997,,False,False
2020-01-14,sh.600121,2.44,2.432,,False,False
2020-01-15,sh.600121,2.4,2.4259999999999997,2.43,False,False
2020-01-16,sh.600121,2.37,2.414,2.429,False,False
2020-01-17,sh.600121,2.36,2.402,2.426,False,False
2020-01-20,sh.600121,2.37,2.3880000000000003,2.421,False,False
2020-01-21,sh.600121,2.35,2.37,2.4010000000000002,False,False
2020-01-22,sh.600121,2.35,2.36,2.393,False,False
2020-01-23,sh.600121,2.23,2.332,2.3729999999999998,False,False
2020-02-03,sh.600121,2.01,2.262,2.332,False,False
2020-02-04,sh.600121,1.96,2.1799999999999997,2.284,False,False
2020-02-05,sh.600121,2.0,2.1100000000000003,2.24,False,False
2020-02-06,sh.600121,2.05,2.05,2.2049999999999996,False,False
2020-02-07,sh.600121,2.02,2.008,2.1700000000000004,False,False
2020-02-10,sh.600121,2.05,2.016,2.139,False,False
2020-02-11,sh.600121,2.09,2.0420000000000003,2.1109999999999998,False,False
2020-02-12,sh.600121,2.1,2.0620000000000003,2.086,False,False
2020-02-13,sh.600121,2.05,2.062,2.056,True,False
2020-02-14,sh.600121,2.06,2.07,2.0389999999999997,False,False
2020-02-17,sh.600121,2.13,2.086,2.0509999999999997,False,False
2020-02-18,sh.600121,2.15,2.098,2.07,False,False
2020-02-19,sh.600121,2.12,2.102,2.082,False,False
2020-02-20,sh.600121,2.17,2.1260000000000003,2.0940000000000003,False,False
2020-02-21,sh.600121,2.18,2.15,2.11,False,False
2020-02-24,sh.600121,2.13,2.15,2.118,False,False
2020-02-25,sh.600121,2.07,2.1340000000000003,2.116,False,False
2020-02-26,sh.600121,2.12,2.134,2.118,False,False
2020-02-27,sh.600121,2.11,2.122,2.1239999999999997,False,True
2020-02-28,sh.600121,2.02,2.09,2.12,False,False
2020-03-02,sh.600121,2.09,2.082,2.116,False,False
2020-03-03,sh.600121,2.1,2.088,2.1109999999999998,False,False
2020-03-04,sh.600121,2.16,2.096,2.115,False,False
2020-03-05,sh.600121,2.21,2.116,2.119,False,False
2020-03-06,sh.600121,2.24,2.1599999999999997,2.125,True,False
2020-03-09,sh.600121,2.14,2.1700000000000004,2.1260000000000003,False,False
2020-03-10,sh.600121,2.19,2.1879999999999997,2.1380000000000003,False,False
2020-03-11,sh.600121,2.16,2.1879999999999997,2.1420000000000003,False,False
2020-03-12,sh.600121,2.11,2.168,2.1420000000000003,False,False
2020-03-13,sh.600121,2.1,2.14,2.15,False,True
2020-03-16,sh.600121,2.05,2.122,2.146,False,False
2020-03-17,sh.600121,2.07,2.098,2.143,False,False
2020-03-18,sh.600121,2.03,2.072,2.13,False,False
2020-03-19,sh.600121,2.05,2.06,2.114,False,False
2020-03-20,sh.600121,2.1,2.0599999999999996,2.1,False,False
2020-03-23,sh.600121,2.01,2.052,2.0869999999999997,False,False
2020-03-24,sh.600121,2.05,2.0479999999999996,2.0729999999999995,False,False
