date,action,price,shares,gross_amount,commission,stamp_tax,net_amount,pnl,return_pct,cash_after
2020-02-14,BUY,2.06,48500,99910.0,29.97,0.0,-99939.97,,,60.03
2020-02-28,SELL,2.06,48500,99910.0,29.97,99.91,99780.12,-159.86,-0.16,99840.14
2020-03-09,BUY,2.21,45100,99671.0,29.9,0.0,-99700.9,,,139.24
2020-03-16,SELL,2.13,45100,96063.0,28.82,96.06,95938.12,-3762.78,-3.77,96077.36
2020-04-10,BUY,2.09,45900,95931.0,28.78,0.0,-95959.78,,,117.58
2020-04-17,SELL,2.01,45900,92259.0,27.68,92.26,92139.06,-3820.72,-3.98,92256.64
2020-05-14,BUY,1.82,50600,92092.0,27.63,0.0,-92119.63,,,137.02
2020-05-18,SELL,1.85,50600,93610.0,28.08,93.61,93488.31,1368.68,1.49,93625.32
2020-06-02,BUY,1.8,51900,93420.0,28.03,0.0,-93448.03,,,177.3
2020-06-15,SELL,1.78,51900,92382.0,27.71,92.38,92261.9,-1186.12,-1.27,92439.2
2020-06-19,BUY,2.04,45200,92208.0,27.66,0.0,-92235.66,,,203.54
2020-07-01,SELL,1.83,45200,82716.0,24.81,82.72,82608.47,-9627.19,-10.44,82812.01
2020-07-07,BUY,2.19,37800,82782.0,24.83,0.0,-82806.83,,,5.17
2020-07-20,SELL,2.01,37800,75978.0,22.79,75.98,75879.23,-6927.61,-8.37,75884.4
2020-08-06,BUY,2.02,37500,75750.0,22.72,0.0,-75772.73,,,111.68
2020-08-12,SELL,1.97,37500,73875.0,22.16,73.88,73778.96,-1993.76,-2.63,73890.64
2020-08-19,BUY,2.11,35000,73850.0,22.15,0.0,-73872.16,,,18.48
2020-08-27,SELL,1.99,35000,69650.0,20.9,69.65,69559.46,-4312.7,-5.84,69577.94
2020-09-08,BUY,2.01,34600,69546.0,20.86,0.0,-69566.86,,,11.08
2020-09-17,SELL,2.05,34600,70930.0,21.28,70.93,70837.79,1270.93,1.83,70848.87
2020-10-13,BUY,2.12,33400,70808.0,21.24,0.0,-70829.24,,,19.62
2020-10-26,SELL,2.05,33400,68470.0,20.54,68.47,68380.99,-2448.25,-3.46,68400.61
2020-11-06,BUY,2.09,32700,68343.0,20.5,0.0,-68363.5,,,37.11
2020-12-21,SELL,4.99,32700,163173.0,48.95,163.17,162960.88,94597.37,138.37,162997.99
2020-12-23,BUY,5.85,27800,162630.0,48.79,0.0,-162678.79,,,319.2
2021-01-11,SELL,8.1,27800,225180.0,67.55,225.18,224887.27,62208.48,38.24,225206.46
2021-02-25,BUY,4.68,48100,225108.0,67.53,0.0,-225175.53,,,30.93
2021-02-26,SELL,4.7,48100,226070.0,67.82,226.07,225776.11,600.58,0.27,225807.04
2021-03-08,BUY,6.16,36600,225456.0,67.64,0.0,-225523.64,,,283.4
2021-03-22,SELL,6.01,36600,219966.0,65.99,219.97,219680.04,-5843.59,-2.59,219963.45
2021-04-08,BUY,6.51,33700,219387.0,65.82,0.0,-219452.82,,,510.63
2021-04-19,SELL,5.67,33700,191079.0,57.32,191.08,190830.6,-28622.22,-13.04,191341.23
2021-05-11,BUY,5.9,32400,191160.0,57.35,0.0,-191217.35,,,123.88
2021-05-20,SELL,5.5,32400,178200.0,53.46,178.2,177968.34,-13249.01,-6.93,178092.22
2021-05-28,BUY,5.8,30600,177480.0,53.24,0.0,-177533.24,,,558.98
2021-06-11,SELL,5.89,30600,180234.0,54.07,180.23,179999.7,2466.45,1.39,180558.67
2021-07-12,BUY,5.3,34000,180200.0,54.06,0.0,-180254.06,,,304.61
2021-07-23,SELL,5.32,34000,180880.0,54.26,180.88,180644.86,390.8,0.22,180949.47
2021-08-11,BUY,4.95,36500,180675.0,54.2,0.0,-180729.2,,,220.27
2021-08-20,SELL,4.85,36500,177025.0,53.11,177.02,176794.87,-3934.34,-2.18,177015.13
2021-08-27,BUY,5.15,34300,176645.0,52.99,0.0,-176697.99,,,317.14
2021-09-23,SELL,6.22,34300,213346.0,64.0,213.35,213068.65,36370.66,20.58,213385.79
