代码,买入日期,卖出日期,盈亏(%),类型
301389,2025-06-20,2025-07-04,22.84,盈利
000628,2021-11-19,2021-11-25,13.04,盈利
000628,2023-06-19,2023-06-26,-8.15,亏损
605318,2021-12-20,2021-12-24,10.63,盈利
605318,2022-08-17,2022-08-31,-4.87,亏损
605318,2023-08-03,2023-08-21,-1.56,亏损
605318,2024-10-08,2024-10-09,-8.15,亏损
605318,2025-08-22,2025-09-03,-3.44,亏损
301580,2025-06-10,2025-06-13,-5.92,亏损
301580,2025-07-15,2025-07-28,21.16,盈利
688035,2025-08-14,2025-08-18,10.9,盈利
688035,2026-01-08,2026-02-02,-0.58,亏损
300835,2023-02-01,2023-02-16,-1.12,亏损
605287,2023-05-05,2023-05-29,-3.22,亏损
605287,2023-07-26,2023-08-10,-8.15,亏损
605287,2024-01-03,2024-01-04,-8.15,亏损
605287,2025-06-03,2025-06-19,-5.1,亏损
605287,2025-07-02,2025-07-31,3.34,盈利
688480,2023-11-08,2023-12-01,12.43,盈利
688480,2025-03-11,2025-04-07,-8.15,亏损
301196,2023-07-21,2023-07-26,-6.54,亏损
