feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,1020812.6467247009,218,159066.30906677246,187,0.5162550144632658,0.19752864086156488,0.35689182766241534,0.13212121212113204,0.16403508771915434,0.14807814992014318,51.63%,19.75%,35.69%,13.21%,16.4%,14.81%
ma5_bias,264824.68617248535,299,161140.88946533203,146,0.13392964186804102,0.20010485608205822,0.1670172489750496,0.18121212121201138,0.12807017543848415,0.15464114832524778,13.39%,20.01%,16.7%,18.12%,12.81%,15.46%
hl_ratio,261921.346244812,170,80807.97204589844,135,0.1324613373743987,0.10034738960533249,0.11640436348986559,0.10303030303024059,0.11842105263147507,0.11072567783085782,13.25%,10.03%,11.64%,10.3%,11.84%,11.07%
v_dry,67019.53325653076,114,113991.1840133667,77,0.03389375143586219,0.14155432272530405,0.08772403708058313,0.06909090909086722,0.06754385964906356,0.0683173843699654,3.39%,14.16%,8.77%,6.91%,6.75%,6.83%
ma20_bias,58172.04006195068,129,48254.189041137695,96,0.029419313602644992,0.05992208176007782,0.04467069768136141,0.07818181818177079,0.0842105263157156,0.0811961722487432,2.94%,5.99%,4.47%,7.82%,8.42%,8.12%
rsi_14,21654.486526489258,62,62809.075019836426,109,0.010951311477964274,0.07799634815963667,0.04447382981880047,0.0375757575757348,0.09561403508763543,0.06659489633168511,1.1%,7.8%,4.45%,3.76%,9.56%,6.66%
winner_ratio,68884.95920562744,182,42515.92011260986,77,0.03483715226795511,0.05279629585984395,0.04381672406389953,0.11030303030296346,0.06754385964906356,0.08892344497601351,3.48%,5.28%,4.38%,11.03%,6.75%,8.89%
ma60_bias,59064.7629776001,130,39559.86996459961,76,0.02987078986835251,0.04912547095995907,0.039498130414155785,0.07878787878783104,0.06666666666660818,0.07272727272721961,2.99%,4.91%,3.95%,7.88%,6.67%,7.27%
rs_rank,55503.02340698242,132,39710.552909851074,99,0.028069513287930694,0.049312589134456,0.038691051211193345,0.07999999999995151,0.08684210526308171,0.08342105263151661,2.81%,4.93%,3.87%,8.0%,8.68%,8.34%
v_ratio,34638.18508148193,88,20568.437103271484,46,0.017517550157315303,0.025541897900895554,0.021529724029105426,0.05333333333330101,0.04035087719294706,0.04684210526312403,1.75%,2.55%,2.15%,5.33%,4.04%,4.68%
v_trend,25307.784648895264,62,22377.046936035156,49,0.0127988919140734,0.027787830708481502,0.02029336131127745,0.0375757575757348,0.04298245614031317,0.04027910685802399,1.28%,2.78%,2.03%,3.76%,4.3%,4.03%
cost_concentration,39538.39831542969,64,14480.80793762207,43,0.019995732282195488,0.017982276242388493,0.01898900426229199,0.03878787878785528,0.03771929824558095,0.03825358851671812,2.0%,1.8%,1.9%,3.88%,3.77%,3.83%
