feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,275505.7628631592,170,54093.70238113403,198,0.46599341158051416,0.19133427354946642,0.32866384256499026,0.1452991452990211,0.15348837209290428,0.1493937586959627,46.6%,19.13%,32.87%,14.53%,15.35%,14.94%
hl_ratio,112043.44054794312,117,29174.825019836426,158,0.1895114808617903,0.10319397093163388,0.14635272589671208,0.09999999999991453,0.12248062015494382,0.11124031007742918,18.95%,10.32%,14.64%,10.0%,12.25%,11.12%
ma5_bias,60100.14506149292,164,37107.024589538574,144,0.10165403199786895,0.13125087174468808,0.1164524518712785,0.14017094017082038,0.11162790697665766,0.125899423573739,10.17%,13.13%,11.65%,14.02%,11.16%,12.59%
v_dry,20715.11873626709,85,43834.59278869629,68,0.03503777471254976,0.1550468834332736,0.09504232907291169,0.07264957264951055,0.05271317829453278,0.06268137547202167,3.5%,15.5%,9.5%,7.26%,5.27%,6.27%
ma60_bias,27621.77049636841,103,16643.306560516357,110,0.046719759810940426,0.05886886698530149,0.05279431339812096,0.0880341880341128,0.08527131782939126,0.08665275293175204,4.67%,5.89%,5.28%,8.8%,8.53%,8.67%
rsi_14,6225.130596160889,49,23561.047481536865,101,0.010529252868950274,0.08333753663562479,0.046933394752287534,0.041880341880306086,0.07829457364335016,0.060087457761828125,1.05%,8.33%,4.69%,4.19%,7.83%,6.01%
cost_concentration,37361.710678100586,65,7493.851287841797,62,0.06319399943013075,0.0265064236525066,0.04485021154131867,0.05555555555550807,0.04806201550383871,0.05180878552967339,6.32%,2.65%,4.49%,5.56%,4.81%,5.18%
ma20_bias,11346.241069793701,83,19528.681106567383,89,0.019191154224074226,0.06907469536060858,0.044132924792341405,0.0709401709401103,0.06899224806196202,0.06996620950103616,1.92%,6.91%,4.41%,7.09%,6.9%,7.0%
winner_ratio,9284.840282440186,73,15232.307388305664,90,0.015704478752930844,0.053878036450322464,0.03479125760162666,0.06239316239310907,0.06976744186041103,0.06608030212676005,1.57%,5.39%,3.48%,6.24%,6.98%,6.61%
rs_rank,13162.872859954834,109,13354.860176086426,94,0.022263824779801475,0.047237337391743656,0.034750581085772565,0.09316239316231353,0.07286821705420708,0.0830153051082603,2.23%,4.72%,3.48%,9.32%,7.29%,8.3%
ind_excess,4935.6550941467285,42,8723.271018981934,59,0.00834822013087456,0.030854991430095405,0.019601605780484983,0.03589743589740522,0.04573643410849168,0.040816935002948446,0.83%,3.09%,1.96%,3.59%,4.57%,4.08%
v_trend,7593.919738769531,60,7264.377691268921,56,0.012844437552093834,0.025694754974520756,0.019269596263307296,0.051282051282007454,0.04341085271314464,0.04734645199757605,1.28%,2.57%,1.93%,5.13%,4.34%,4.73%
v_ratio,4759.829425811768,44,5486.289367675781,48,0.008050826703675984,0.01940549721019855,0.013728161956937268,0.037606837606805464,0.03720930232555255,0.03740806996617901,0.81%,1.94%,1.37%,3.76%,3.72%,3.74%
ind_rank,566.0047912597656,6,1220.1727142333984,13,0.0009573465938026824,0.004315860250012224,0.002636603421907453,0.005128205128200745,0.01007751937983715,0.0076028622540189475,0.1%,0.43%,0.26%,0.51%,1.01%,0.76%
