feature,A_gain,A_split,B_gain,B_split,A_gain_pct,B_gain_pct,avg_gain_pct,A_split_pct,B_split_pct,avg_split_pct,A_gain_pct_str,B_gain_pct_str,avg_gain_pct_str,A_split_pct_str,B_split_pct_str,avg_split_pct_str
atr_14,330821.8988018036,269,53651.971420288086,238,0.5085549559569194,0.19920843338676444,0.3538816946718419,0.1262910798121473,0.15256410256400477,0.13942759118807602,50.86%,19.92%,35.39%,12.63%,15.26%,13.94%
ma5_bias,74677.81643295288,329,52832.98811340332,184,0.11479824577686698,0.19616756876957475,0.15548290727322087,0.1544600938966411,0.11794871794864234,0.1362044059226417,11.48%,19.62%,15.55%,15.45%,11.79%,13.62%
hl_ratio,91132.33227729797,249,27922.444816589355,163,0.14009290012357534,0.10367534204228276,0.12188412108292905,0.11690140845064935,0.1044871794871125,0.11069429396888092,14.01%,10.37%,12.19%,11.69%,10.45%,11.07%
v_dry,21944.05891418457,128,28523.79669570923,92,0.033733437704814774,0.10590814658948636,0.06982079214715056,0.06009389671358681,0.05897435897432117,0.05953412784395399,3.37%,10.59%,6.98%,6.01%,5.9%,5.95%
ma20_bias,19704.832899093628,166,16312.238208770752,123,0.030291194335779512,0.060566934123359256,0.04542906422956938,0.0779342723004329,0.0788461538461033,0.0783902130732681,3.03%,6.06%,4.54%,7.79%,7.88%,7.84%
winner_ratio,21543.231191635132,205,14857.306213378906,107,0.03311726650960147,0.055164807867534665,0.04414103718856807,0.09624413145535388,0.06858974358969962,0.08241693752252674,3.31%,5.52%,4.41%,9.62%,6.86%,8.24%
rs_rank,17819.28673171997,172,16323.221794128418,150,0.027392644235025965,0.060607715902185805,0.044000180068605885,0.08075117370888228,0.09615384615378451,0.0884525099313334,2.74%,6.06%,4.4%,8.08%,9.62%,8.85%
rsi_14,9495.91718864441,102,19293.80271911621,145,0.014597569765279646,0.07163740887804639,0.04311748932166302,0.04788732394363949,0.09294871794865836,0.07041802094614892,1.46%,7.16%,4.31%,4.79%,9.29%,7.04%
ma60_bias,20023.757902145386,167,14557.552303314209,124,0.030781460824993143,0.05405182906648048,0.04241664494573681,0.0784037558685078,0.07948717948712854,0.07894546767781817,3.08%,5.41%,4.24%,7.84%,7.95%,7.89%
v_trend,13227.519844055176,112,10822.963539123535,82,0.020333964577547135,0.04018539401546737,0.030259679296507254,0.05258215962438846,0.05256410256406887,0.05257313109422866,2.03%,4.02%,3.03%,5.26%,5.26%,5.26%
cost_concentration,18696.20809364319,121,7005.716121673584,80,0.028740688926764225,0.026012049443969905,0.027376369185367067,0.056807511737062534,0.05128205128201841,0.05404478150954047,2.87%,2.6%,2.74%,5.68%,5.13%,5.4%
v_ratio,11426.707483291626,110,7221.801727294922,72,0.017565671262830842,0.026814369914844146,0.022190020588837494,0.05164319248823866,0.04615384615381657,0.048898519321027616,1.76%,2.68%,2.22%,5.16%,4.62%,4.89%
