代码,买入日期,卖出日期,买入价,卖出价,盈亏(%),原因,资金变动,累计净值
000628,2021-11-19,2021-11-25,8.69,9.84,13.04,移动止盈,0.1304,1.1304
605318,2021-12-20,2021-12-24,16.08,17.82,10.63,移动止盈,0.1063,1.2505615200000002
605318,2022-08-17,2022-08-31,16.1,15.34,-4.87,跌破均线,-0.0487,1.1896591739760003
300835,2023-02-01,2023-02-16,40.78,40.39,-1.12,跌破均线,-0.011200000000000002,1.1763349912274692
605287,2023-05-05,2023-05-29,17.58,17.04,-3.22,跌破均线,-0.0322,1.1384570045099447
000628,2023-06-19,2023-06-26,16.1,14.81,-8.15,硬止损,-0.0815,1.0456727586423842
301196,2023-07-21,2023-07-26,34.71,32.5,-6.54,跌破均线,-0.0654,0.9772857602271723
605287,2023-07-26,2023-08-10,19.62,18.05,-8.15,硬止损,-0.0815,0.8976369707686577
605318,2023-08-03,2023-08-21,15.26,15.05,-1.56,跌破均线,-0.015600000000000001,0.8836338340246667
688480,2023-11-08,2023-12-01,34.34,38.67,12.43,移动止盈,0.1243,0.9934695195939328
605287,2024-01-03,2024-01-04,18.54,17.06,-8.15,硬止损,-0.0815,0.9125017537470272
605318,2024-10-08,2024-10-09,18.81,17.31,-8.15,硬止损,-0.0815,0.8381328608166445
688480,2025-03-11,2025-04-07,32.18,29.6,-8.15,硬止损,-0.0815,0.769825032660088
605287,2025-06-03,2025-06-19,13.94,13.25,-5.1,跌破均线,-0.051,0.7305639559944235
301580,2025-06-10,2025-06-13,41.05,38.68,-5.92,跌破均线,-0.0592,0.6873145697995536
301389,2025-06-20,2025-07-04,23.25,28.6,22.84,移动止盈,0.2284,0.8442972175417717
605287,2025-07-02,2025-07-31,14.85,15.37,3.34,跌破均线,0.0334,0.8724967446076669
301580,2025-07-15,2025-07-28,43.4,52.67,21.16,移动止盈,0.2116,1.0571170557666492
688035,2025-08-14,2025-08-18,46.93,52.13,10.9,移动止盈,0.109,1.172342814845214
605318,2025-08-22,2025-09-03,31.92,30.87,-3.44,跌破均线,-0.0344,1.1320142220145386
688035,2026-01-08,2026-02-02,51.72,51.5,-0.58,跌破均线,-0.0058,1.1254485395268543
