date,code,open,high,low,close,preclose,volume,amount,pctChg,turn,peTTM,pbMRQ
2020-08-25,sh.605123,34.4777888,41.37334656,34.4777888,41.37334656,28.72833336,122046,5309857.28,44.0158,0.452,31.599541,6.547631
2020-08-26,sh.605123,45.5125756,45.5125756,45.5125756,45.5125756,41.37334656,43256,2078450.8,10.0046,0.1602,34.760942,7.202693
2020-08-27,sh.605123,50.06856912,50.06856912,50.06856912,50.06856912,45.5125756,61128,3231226.08,10.0104,0.2264,38.240653,7.923712
2020-08-28,sh.605123,55.0792148,55.0792148,55.0792148,55.0792148,50.06856912,88173,5127259.95,10.0076,0.3266,42.067612,8.716683
2020-08-31,sh.605123,60.59187224,60.59187224,60.59187224,60.59187224,55.0792148,627713,40154800.61,10.0086,2.3249,46.277991,9.589101
2020-09-01,sh.605123,66.65390104,66.65390104,66.65390104,66.65390104,60.59187224,1511955,106396273.35,10.0047,5.5998,50.90796,10.548461
2020-09-02,sh.605123,73.32213272,73.32213272,73.32213272,73.32213272,66.65390104,226801,17556665.41,10.0043,0.84,56.000926,11.603756
2020-09-03,sh.605123,80.51132,80.6533988,71.23831032,80.6533988,73.32213272,16841228,1358141273.7,9.9987,62.3749,61.600296,12.763982
2020-09-04,sh.605123,80.51132,83.93068312,74.36404392,82.75616504,80.6533988,14470385,1232965273.27,2.6072,53.594,63.206316,13.09676
2020-09-07,sh.605123,84.300088,87.141664,79.11894776,79.2799704,82.75616504,8796673,769314364.73,-4.2005,32.5803,60.551318,12.546627
2020-09-08,sh.605123,75.77536,77.669744,71.35197336,71.35197336,79.2799704,7615225,581265502.41,-10.0,28.2045,54.496186,11.291965
2020-09-09,sh.605123,70.092208,74.24090896,69.62808392,72.10972696,71.35197336,8303696,633626206.42,1.062,30.7544,55.074933,11.411885
2020-09-10,sh.605123,74.828168,75.71852848,70.65105128,74.52506656,72.10972696,7309496,566595390.04,3.3495,27.0722,56.919686,11.794129
2020-09-11,sh.605123,75.77536,81.9794676,74.83763992,79.64937528,74.52506656,9131291,750629892.19,6.876,33.8196,60.833457,12.605088
2020-09-14,sh.605123,77.5750248,78.60746408,74.61978576,76.50469784,79.64937528,7723187,621431964.3,-3.9482,28.6044,58.43166,12.10742
